TITLE,ABSTRACT,PUBLICATION YEAR,AUTHORS,JOURNAL,KEYWORDS
Predicting topic shift locations in design histories,"Knowing the locations of weak-to-strong topic shifts in a design history enables hierarchical segmentation of that history. The segmentation can be the basis of hierarchical visualization, that is, semantic zoom, and more, such as visualization of co-location, co-citation, and density of linking. This research shows that a fine-grained, sub-topical linkograph of a design conversation can be used to identify the locations of topic shifts in that conversation. A design conversation spanning 11 design meetings was captured; deictic (pointing-like) references were simulated by performing a sentence-by-sentence-level linkograph analysis of the conversation (that is, the conversation was not subjectively aggregated to topical segments prior to analysis); an algorithm used the linkograph to predict the locations of topic shifts; and the linkograph-predicted topic shift locations were compared with expected topic shift locations for the same conversation. The expected topic shift locations were defined as the heads of reference series (references to transcript units) that were made in a detailed report about the meetings. The model performed well (63-80 %) on large reference series (quartiles three and four) and poorly on small reference series (quartiles one and two, and singular references). Future research will work with linkographs that are automatically constructed by both text-based and graphic design systems and aim to develop a framework that can adapt to individual histories.",2013,"Botta, D; Woodbury, R",RESEARCH IN ENGINEERING DESIGN,Design history analysis; Linkograph analysis; Discourse analysis; Topical segmentation; 
A novel systematic method to evaluate computer-supported collaborative design technologies,"Selection of suitable computer-supported collaborative design (CSCD) technologies is crucial to facilitate successful projects. This paper presents the first systematic method for engineering design teams to evaluate and select the most suitable CSCD technologies comparing technology functionality and project requirements established in peer-reviewed literature. The paper first presents 220 factors that influence successful CSCD. These factors were then systematically mapped and categorised to create CSCD requirement statements. The novel evaluation and selection method incorporates these requirement statements within a matrix and develops a discourse analysis text processing algorithm with data from collaborative projects to automate the population of how technologies impact the success of CSCD in engineering design teams. This method was validated using data collected across 3 years of a student global design project. The impact of this method is the potential to change the way engineering design teams consider the technology they use and how the selection of appropriate tools impacts the success of their CSCD projects. The development of the CSCD evaluation matrix is the first of its kind enabling a systematic and justifiable comparison and technology selection, with the aim of best supporting the engineering designers collaborative design activity.",2020,"Brisco, R; Whitfield, RI; Grierson, H",RESEARCH IN ENGINEERING DESIGN,Computer-supported collaborative design (CSCD); Engineering design; Computer-aided engineering and design; Collaboration; Educational tools; SOCIAL NETWORK SITES; COMMUNICATION; STUDENTS; ONLINE; TEAMS
Computer-aided mind map generation via crowdsourcing and machine learning,"Early-stage ideation is a critical step in the design process. Mind maps are a popular tool for generating design concepts and in general for hierarchically organizing design insights. We explore an application for high-level concept synthesis in early stage design, which is typically difficult due to the broad space of options in early stages (e.g., as compared to parametric automation tools which are typically applicable in concept refinement stages or detail design). However, developing a useful mind map often demands a considerable time investment from a diverse design team. To facilitate the process of creating mind maps, we present an approach to crowdsourcing both concepts and binning of said concepts, using a mix of human evaluators and machine learning. The resulting computer-aided mind map has a significantly higher average concept novelty, and no significant difference in average feasibility (quantity can be set independently) as manually generated mind maps, includes distinct concepts, and reduces cost in terms of the designers' time. This approach has the potential to make early-stage ideation faster, scalable and parallelizable, while creating alternative approaches to searching for a breadth and diversity of ideas. Emerging research explores the use of machine learning and other advanced computational techniques to amplify the mind mapping process. This work demonstrates the use of the both the EM-SVD, and HDBSCAN algorithms in an inferential clustering approach to reduce the number of one-to-one comparisons required in forming clusters of concepts. Crowdsourced human effort assists the process for both concept generation and clustering in the mind map. This process provides a viable approach to augment ideation methods, reduces the workload on a design team, and thus provides an efficient and useful machine learning based clustering approach.",2020,"Camburn, B; Arlitt, R; Anderson, D; Sanaei, R; Raviselam, S; Jensen, D; Wood, KL",RESEARCH IN ENGINEERING DESIGN,Mind map; Ideation; Concept generation; Machine learning; Crowdsourcing; Bradley Camburn; 
Machine Learning-Based Design Concept Evaluation,"In order to develop novel solutions for complex systems and in increasingly competitive markets, it may be advantageous to generate large numbers of design concepts and then to identify the most novel and valuable ideas. However, it can be difficult to process, review, and assess thousands of design concepts. Based on this need, we develop and demonstrate an automated method for design concept assessment. In the method, machine learning technologies are first applied to extract ontological data from design concepts. Then, a filtering strategy and quantitative metrics are introduced that enable creativity rating based on the ontological data. This method is tested empirically. Design concepts are crowd-generated for a variety of actual industry design problems/opportunities. Over 4000 design concepts were generated by humans for assessment. Empirical evaluation assesses: (1) correspondence of the automated ratings with human creativity ratings; (2) whether concepts selected using the method are highly scored by another set of crowd raters; and finally (3) if high scoring designs have a positive correlation or relationship to industrial technology development. The method provides a possible avenue to rate design concepts deterministically. A highlight is that a subset of designs selected automatically out of a large set of candidates was scored higher than a subset selected by humans when evaluated by a set of third-party raters. The results hint at bias in human design concept selection and encourage further study in this topic.",2020,"Camburn, B; He, YJ; Raviselvam, S; Luo, JX; Wood, K",JOURNAL OF MECHANICAL DESIGN,artificial intelligence; collaborative design; conceptual design; creativity and concept generation; design automation; ARCHITECTURE; METRICS
Design creativity and the semantic analysis of conversations in the design studio,"The analysis of conversations during design activity can facilitate deeper insights into design thinking and its relation to creativity. A semantic analysis approach was employed to explore the semantic content of communication and information exchange between students and instructors. The goal was to examine design conversations in terms of abstraction, Polysemy, Information Content, and Semantic Similarity measures, and analyze their relation to the creativity of final solutions. These design outcomes were assessed according to their Originality, Usability, Feasibility, Overall Value, and Overall Creativity. Consequently, 35 design conversations from the 10th Design Thinking Research Symposium (DTRS10) dataset were analyzed. The main results showed that Information Content and Semantic Similarity predicted Originality, and Information Content alone predicted Overall Creativity. Likewise, Abstraction predicted Feasibility, while Semantic Similarity, Information Content, and Polysemy predicted Overall Value. In context of instructors, Semantic Similarity predicted Usability, and Polysemy predicted Feasibility. For students, Semantic Similarity predicted Overall Value. On the whole, Semantic Similarity and Information Content were the most prolific measures, and therefore could be considered for promoting creativity in the design studio. The implications of using support tools such as automated systems are also discussed.",2021,"Casakin, H; Georgiev, GV",INTERNATIONAL JOURNAL OF DESIGN CREATIVITY AND INNOVATION,Design creativity measures; semantic measures; semantic analysis; design education; design conversations; 
Functional grouping of natural language requirements for assistance in architectural software design,"Modern software systems are becoming larger and more complex every day. One of the most challenging steps for designing a good architecture for a certain piece of software is the analysis of requirements, usually written in natural language by engineers not familiar with specific design formalisms. The main problem related to this task is the conceptual gap existing between low-level requirements and higher views of the system decomposing its functionality. In this paper, we introduce an approach for mining and grouping functionality from textual descriptions of requirements using text mining techniques aiming at helping software designers with this complex and time-consuming task. The knowledge discovered starting from informally written requirements using a combination of natural language processing (NLP) and text clustering algorithms can be then easily mapped into design concerns of a possible architecture for the system. Experimental validation in three case studies suggests a great potential of the proposed approach for providing assistance to software designers during early stages of the software development process. (C) 2011 Elsevier B.V. All rights reserved.",2012,"Casamayor, Agustin; Godoy, Daniela; Campo, Marcelo",KNOWLEDGE-BASED SYSTEMS,Natural language processing; Requirements engineering; Text mining; Software design; Functional grouping of requirements
Plastics design: integrating TRIZ creativity and semantic knowledge portals,"Polymers are substituting metallic alloys in every field of mechanical application; in plastics design the material properties affect designer's choice more heavily than in other cases, but also available manufacturing technologies have a deep influence on the project. All of these considerations can be summarized in the concept that a wide knowledge of polymer behaviour and technology is required and that in plastics design a new approach should be used: so new design tools must be adopted, as creativity supporting software, integrated with the prototyping capabilities offered by computer-aided engineering systems, to guide the development of new solutions. The aim of this work is to show how the integration of modern design tools with creativity management techniques constitutes an effective procedure to enhance the capability of developing innovative products. In this paper the use of the Theory of Inventive Problem Solving (TRIZ) is proposed to approach the redesign of structural parts from metals to polymers. To supply the designer with all the information he/she may need in this activity, a knowledge portal based on semantic capabilities of modern text mining technology has been built: the design of a polymeric wheel is taken as the opportunity to show how these design tools can organize and conduct to realizable solutions. The integrated adoption of knowledge-based tools both for the conceptual design phase (TRIZ-based applications) and for the detailed design phase (Semantic Knowledge portal) has provided satisfactory results in terms of augmented creativity and design efficiency.",2004,"Cascini, G; Rissone, P",JOURNAL OF ENGINEERING DESIGN,;
SEMANTIC ANALYSIS AND IN-DEPTH UNDERSTANDING OF TECHNICAL TEXTS,"We explored the problem of achieving in-depth understanding of natural language sentences from narrative technical reports through knowledge-based free text understanding. We rely on the assumption that texts in an expert domain convey much implicit information, which can be recovered by building and reasoning on a model of the situation described with the help of both linguistic and detailed world knowledge. We describe a two-step approach to semantic analysis: the first step assembles a conceptual representation of a sentence and deals with linguistic issues; the second step actually builds and runs the situational model and is totally dedicated to representation and inference. We evaluated this approach by designing a research prototype that processes sentences from clinical narratives in a medical specialty. This proto-type was fully implemented and was tested on actual sentences. We hereby give a detailed account of this implementation as well as the first results obtained.",1994,"CAVAZZA, M; ZWEIGENBAUM, P",APPLIED ARTIFICIAL INTELLIGENCE,;
Data-Driven Sizing Specification Utilizing Consumer Text Reviews,"The objective of this work is to introduce a new method for determining preliminary design specifications related to human-artifact interaction. This new method uses data mining of large numbers of consumer reviews. User opinion on specific product features can be time-consuming or expensive to obtain through traditional methods including surveys, experiments, and observational studies. Data mining review text of already released products may be a potentially less time consuming and costly method. Previously established methods of determining design for human variability information from consumer reviews, such as the frequency and accuracy summation (FAS) number and subsequent manual analysis, are explored. The weighted phrase rating (WPR), a new metric which can be an automated tool to quickly analyze consumer reviews, is also introduced. It does not require manual parsing of the reviews, which extends its applicability to larger review pools. This new method is shown to quickly and economically provide information useful to the establishment of design specifications.",2017,"Chaklader, R; Parkinson, MB",JOURNAL OF MECHANICAL DESIGN,; ONLINE PRODUCT REVIEWS; DESIGN
A functional representation for aiding biomimetic and artificial inspiration of new ideas,"Inspiration is useful for exploration and discovery of new solution spaces. Systems in natural and artificial worlds and their functionality are seen as rich sources of inspiration for idea generation. However, unlike in the artificial domain where existing systems are often used for inspiration, those from the natural domain are rarely used in a systematic way for this purpose. Analogy is long regarded as a powerful means for inspiring novel idea generation. One aim of the work reported here is to initiate similar work in the area of systematic biomimetics for product development, so that inspiration from both natural and artificial worlds can be used systematically to help develop novel, analogical ideas for solving design problems. A generic model for representing causality of natural and artificial systems has been developed, and used to structure information in a database of systems from both the domains. These are implemented in a piece of software for automated analogical search of relevant ideas from the databases to solve a given problem. Preliminary experiments at validating the software indicate substantial potential for the approach.",2005,"Chakrabarti, A; Sarkar, P; Leelavathamma, B; Nataraju, BS",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,idea generation; inspiration; design by analogy; behavioral language; biomimicry
Function in device representation,"We explore the meanings of the terms `structure', `behaviour', and, especially, `function' in engineering practice. Computers provide great assistance in calculation tasks in engineering practice, but they also have great potential for helping with reasoning tasks. However, realising this vision requires precision in representing engineering knowledge, in which the terms mentioned above play a central role. We start with a simple ontology for representing objects and causal interactions between objects. Using this ontology, up investigate a range of meanings for the terms of interest. Specifically, we distinguish between function as effect on the environment, and a device-centred view of device function. In the former view, function is seen as an intended or desired role that an artifact plays in its environment. We identify an important concept called mode of deployment that is often left implicit, but whose explicit representation is necessary for correct and complete reasoning. We discuss the task of design and design verification in this framework. We end with a discussion that relates needs in the world to functions of artifacts created to satisfy the needs.",2000,"Chandrasekaran, B; Josephson, JR",ENGINEERING WITH COMPUTERS,functional reasoning; device ontology; functional representation; causal reasoning; compositional modeling; device simulation
Product concept evaluation and selection using data mining and domain ontology in a crowdsourcing environment,"For product design and development, crowdsourcing shows huge potential for fostering creativity and has been regarded as one important approach to acquiring innovative concepts. Nevertheless, prior to the approach could be effectively implemented, the following challenges concerning crowdsourcing should be properly addressed: (1) burdensome concept review process to deal with a large amount of crowd-sourced design concepts; (2) insufficient consideration in integrating design knowledge and principles into existing data processing methods! algorithms for crowdsourcing; and (3) lack of a quantitative decision support process to identify better concepts. To tackle these problems, a product concept evaluation and selection approach, which comprises three modules, is proposed. These modules are respectively: (1) a data mining module to extract meaningful information from online crowd-sourced concepts; (2) a concept re-construction module to organize word tokens into a unified frame using domain ontology and extended design knowledge; and (3) a decision support module to select better concepts in a simplified manner. A pilot study on future PC (personal computer) design was conducted to demonstrate the proposed approach. The results show that the proposed approach is promising and may help to improve the concept review and evaluation efficiency; facilitate data processing using design knowledge; and enhance the reliability of concept selection decisions. (C) 2015 Elsevier Ltd. All rights reserved.",2015,"Chang, Danni; Chen, Chun-Hsien",ADVANCED ENGINEERING INFORMATICS,Data mining; Crowdsourcing; Domain ontology; Product concept evaluation and selection
A product affective properties identification approach based on web mining in a crowdsourcing environment,"Affective product design, which aims to satisfy customer feelings as an aspect of product quality, has attracted more and more research attention. However, conventional product design relies on surveys and user experiments to collect user evaluations, which leads to the issues that (i) consumers can only express their feelings on design attributes specified by assigners; (ii) abundant online consumer resources are neglected; and (iii) a lack of further prioritisation and re-construction of affective design properties. This study aims to develop a product affective properties identification approach. Crowdsourcing platforms have the advantage of obtaining large numbers of free consumer comments and have been utilised as data sources. Web mining and text mining are deployed to capture the crowdsourced product review resources. Then product design knowledge hierarchy is established to find design properties, while sentiment analysis was undertaken to identify affections. With the help of domain ontology to connect design properties and corresponding affections, product affective properties can be identified. Furthermore, the identified affective properties are prioritised, so as to assist in design improvement and support decision making. To illustrate the proposed approach, a pilot study on iPhone 7 was conducted, in which influential affective properties have been identified and ranked.",2018,"Chang, DN; Lee, C",JOURNAL OF ENGINEERING DESIGN,Product affective property; crowdsourcing; web mining; product design knowledge hierarchy; domain ontology; LIFE-CYCLE ASSESSMENT; EMOTIONAL DESIGN; AFFECTIVE RESPONSES; FORM DESIGN; GENETIC ALGORITHM; NEURAL-NETWORKS; SEMANTIC WEB; ROUGH SET; ONTOLOGY; QUALITY
A linguistic representation based approach to modelling Kansei data and its application to consumer-oriented evaluation of traditional products,"This paper aims at introducing a new method for Kansei data modelling, which is basically based on the linguistic interpretation of Kansei data and the probabilistic semantics of fuzzy sets. We first interpret a semantic differential scale used in Kansei experiment as a linguistic variable and then propose a new method of how the Kansei value of products can be represented as a probability distribution on the set of Kansei linguistic labels of the linguistic variable. We further extend this Kansei data modelling approach to the cases where the Kansei value is imprecisely given as an interval or a fuzzy number. Furthermore, the proposed approach for modelling Kansei data will be used to develop a target-based model for consumer-oriented evaluation. Finally, a case study for consumer-oriented evaluation of hand painted Kutani cups, a traditional product in Ishikawa, Japan, is conducted to show the applicability of the proposed Kansei data modelling approach. (C) 2017 Elsevier B.V. All rights reserved.",2017,"Chanyachatchawan, Sapa; Yan, Hong-Bin; Sriboonchitta, Songsak; Huynh, Van-Nam",KNOWLEDGE-BASED SYSTEMS,Decision making; Linguistic variable; Consumer-oriented evaluation; Kansei data; Semantic overlapping
A structure-function knowledge extraction method for bio-inspired design,"Bio-inspired design is an innovative design method that uses analogies to biological systems to develop solutions for engineering problems. It offers a huge potential to produce innovative concepts. However, most designers face difficulties in extracting design knowledge from biological information. This paper proposes a structure-function knowledge extraction method, which combines dependency parsing and keyword extraction. The dependency parsing computes dependency relations between pairs of words in a sentence. Through the specific types of dependency relations, the potential knowledge including structures and functions can be identified. The keyword extraction is to obtain the terms that represent the subject of biological information. These terms target on filtering the identified knowledge, which ensures that the extracted structures and functions are all related to the subject. Among them, the structures and functions with association relationships are further combined into structure-function knowledge. The proposed method is preliminarily evaluated based on randomly selected test samples, and the result indicates that the method would be a promising alternative to extract structure-function knowledge. In addition, a case study illustrates the application of extracted structure-function knowledge in the improvement design of fan noise reduction. To verify the impact of the method on bio-inspired design, we conducted an experiment with three different groups. It demonstrates that the method can save the time of extracting design knowledge and provide the potentiality of generating novel ideas. (C) 2021 Elsevier B.V. All rights reserved.",2021,"Chen, Chen; Tao, Ye; Li, Yan; Liu, Qiyu; Li, Song; Tang, Zhong",COMPUTERS IN INDUSTRY,Concept generation; Engineering design; Bio-inspired design; Biological information; Design knowledge extraction; Innovative solutions
Ontology-based requirement verification for complex systems,"Verification is a necessary part of Model-based systems engineering (MBSE) which is becoming a mainstream methodology for the design of complex systems. Verification in the early design stage has aroused widespread attention for its efficiency and cost-saving. Although there are numbers of researches on verification, some deficiencies still exist, such as the integration of design and verification needs to improve, the design problems are hard to trace and the behavior verification in the early design stage is often omitted. In this study, a novel ontology-based requirement verification method for complex systems is proposed to solve the above-mentioned problems. First, a requirement formalization method is proposed to avoid the ambiguousness of natural language, to make requirements easier to verify, and to make design problems easier to trace. Second, some transformation rules are defined to realize the automatic design ontology and rule generation. Based on these two steps, automated verification can be done through reasoning with ontology models and rules. This verification method is fully integrated with design tools and no additional expertise is needed for designers. To validate its feasibility and advantages, an example of a smart traffic light system is provided.",2020,"Chen, Ruirui; Chen, Chun-Hsien; Liu, Yusheng; Ye, Xiaoping",ADVANCED ENGINEERING INFORMATICS,Ontology; Reasoning; Systems design; Verification
Investigating a Mixed-Initiative Workflow for Digital Mind-Mapping,"In this paper, we report on our investigation of human-AI collaboration for mind-mapping. We specifically focus on problem exploration in pre-conceptualization stages of early design. Our approach leverages the notion of query expansion-the process of refining a given search query for improving information retrieval. Assuming a mind-map as a network of nodes, we reformulate its construction process as a sequential interaction workflow wherein a human user and an intelligent agent take turns to add one node to the network at a time. Our contribution is the design, implementation, and evaluation of algorithm that powers the intelligent agent (IA). This paper is an extension of our prior work (Chen et al., 2019, Mini-Map: Mixed-Initiative Mind-Mapping Via Contextual Query Expansion, AIAA Scitech 2020 Forum, p. 2347) wherein we developed this algorithm, dubbed Mini-Map, and implemented a web-based workflow enabled by ConceptNet (a large graph-based representation of commonsense knowledge). In this paper, we extend our prior work through a comprehensive comparison between human-AI collaboration and human-human collaboration for mind-mapping. We specifically extend our prior work by: (a) expanding on our previous quantitative analysis using established metrics and semantic studies, (b) presenting a new detailed video protocol analysis of the mind-mapping process, and (c) providing design implications for digital mind-mapping tools.",2020,"Chen, TJ; Krishnamurthy, VR",JOURNAL OF MECHANICAL DESIGN,artificial intelligence; collaborative design; conceptual design; creativity and concept generation; CREATIVITY; AGREEMENT; FIXATION; TOOL; MAP
Evaluating aircraft cockpit emotion through a neural network approach,"Studies show that there are shortcomings in applying conventional methods for the emotional evaluation of the aircraft cockpit. In order to resolve this problem, a more efficient cockpit emotion evaluation system is established in the present study to simply and quickly obtain the cockpit emotion evaluation value. To this end, the neural network is applied to construct an emotional model to evaluate the emotional prediction of the interior design of the aircraft cockpit. Moreover, several technologies and the Kansei engineering method are applied to acquire the cockpit interior emotional evaluation data for typical aircraft models. In this regard, the radical basis function neural network (RBFNN), Elman neural network (ENN), and the general regression neural network (GRNN) are applied to construct the sentimental prediction evaluation model. Then, the three models are comprehensively compared through factors such as the model evaluation criteria, network structure, and network parameters. Obtained experimental results indicate that the GRNN not only has the highest classification accuracy but also has the highest stability in comparison to the other two neural networks, so that it is a more appropriate method for the emotional evaluation of the aircraft cockpit. Results of the present study provide decision supports for the emotional evaluation of the cockpit interior space.",2021,"Chen, YH; Yu, SH; Chu, JJ; Chen, DK; Yu, MJ",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,Aircraft cockpit interior; emotional evaluation model; Kansei engineering; neural network prediction; 
